AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30,Label
67,67,67,65,66,67,68,68,67,66,66,67,67,68,67,68,77,73,67,68,67,72,81,73,67,68,67,70,84,75,68,68,67,69,88,73,68,67,68,67,74,73,68,67,68,69,59,63,68,67,68,64,45,60,68,67,68,66,34,62,68,67,68,65,27,46,67,68,67,69,38,54,67,68,67,62,48,61,67,68,67,64,59,62,67,68,67,64,67,68,67,68,67,65,75,68,67,68,67,63,81,74,67,68,67,69,85,74,67,68,67,69,85,73,67,68,68,70,84,72,68,68,68,70,80,73,68,67,68,71,77,71,68,67,68,69,73,72,68,67,68,70,70,68,68,67,68,67,69,69,68,67,68,68,68,67,68,68,68,67,67,68,68,68,68,68,67,67,68,68,68,68,67,68,68,67,68,67,68,66,left
45,46,46,37,36,37,45,46,45,37,36,37,45,45,45,37,36,37,45,45,45,37,36,37,45,45,45,37,36,37,45,45,45,37,37,37,46,45,46,36,49,39,46,45,46,37,39,37,46,45,46,35,32,36,46,45,46,36,28,33,46,45,46,37,25,38,45,46,45,37,11,31,45,46,45,36,21,33,45,46,45,37,27,35,45,45,45,33,32,36,45,46,45,35,37,37,45,45,45,36,43,37,45,46,45,35,48,37,45,46,45,38,50,40,45,45,46,40,49,37,45,45,46,37,46,38,45,45,46,37,42,38,45,45,46,37,39,37,45,45,46,36,37,38,45,45,45,37,37,36,45,45,45,37,37,37,45,45,45,37,37,36,45,45,45,37,37,36,45,45,45,37,36,36,45,45,45,37,37,37,left
45,45,45,35,36,36,45,45,45,36,36,36,45,45,45,36,36,36,45,45,45,36,36,36,45,45,45,36,36,36,45,45,45,36,36,37,46,45,45,36,49,40,46,45,46,36,42,39,45,45,46,38,36,37,45,45,46,37,32,32,45,45,45,37,29,38,45,45,45,36,14,30,45,45,45,37,20,29,45,45,45,33,25,31,45,45,45,34,30,33,45,45,45,33,34,35,45,45,45,35,37,35,45,45,45,34,40,38,45,45,45,35,42,39,45,45,45,36,43,40,45,45,45,38,44,38,45,45,45,37,44,39,45,45,45,38,43,39,45,45,45,38,41,37,45,45,45,38,40,37,45,45,45,37,38,36,45,45,45,36,37,36,45,45,45,36,36,36,45,45,45,36,36,35,45,45,45,36,36,36,left
45,45,45,36,36,37,45,45,45,36,36,36,45,45,45,36,36,36,45,45,45,36,36,36,45,45,45,36,36,36,45,45,45,36,36,36,45,45,45,36,46,39,45,45,46,37,40,38,45,45,46,36,35,36,45,45,46,36,30,32,45,45,45,37,27,37,45,45,45,36,16,30,45,45,45,34,22,31,45,45,45,35,27,31,45,45,45,35,32,33,45,45,45,33,36,36,45,45,45,35,39,37,45,45,45,35,40,38,45,45,45,34,42,39,45,45,45,36,43,40,45,45,45,38,43,38,45,45,45,38,43,39,45,45,45,38,42,39,45,45,45,38,41,37,45,45,45,38,39,36,45,45,45,37,38,37,45,45,45,36,37,37,45,45,45,36,37,36,45,45,45,36,36,36,45,45,45,36,36,36,left
45,45,45,35,36,38,45,45,45,36,36,37,45,45,45,36,36,36,45,45,45,36,36,36,45,45,45,36,36,37,45,45,45,36,36,36,45,45,45,36,45,38,46,45,46,38,38,36,45,45,45,36,33,36,45,45,46,36,30,33,45,45,45,37,27,36,45,45,45,36,17,30,45,45,45,34,24,32,45,45,45,35,28,32,45,45,45,33,32,34,45,45,45,33,35,37,45,45,45,34,38,38,45,45,45,33,41,37,45,45,45,36,44,41,45,45,45,39,45,39,45,45,45,39,45,38,45,45,45,38,44,39,45,45,45,39,42,37,45,45,45,37,39,37,45,45,45,37,38,36,45,45,45,36,37,36,45,45,45,36,37,35,45,45,45,36,36,37,45,45,45,36,36,36,45,45,45,36,36,36,left
45,45,45,36,35,37,45,45,45,36,36,37,45,45,45,36,36,37,45,45,45,36,36,36,45,45,45,36,36,36,45,45,45,36,36,36,45,45,45,35,46,38,45,45,46,37,39,37,45,45,46,37,32,35,45,45,45,37,28,33,45,45,45,36,25,36,45,45,45,37,15,32,45,45,45,35,22,32,45,45,45,34,29,34,45,45,45,34,35,35,45,45,45,33,41,37,45,45,45,32,45,38,45,45,45,34,46,38,45,45,45,38,45,38,45,45,45,37,43,39,45,45,45,39,41,39,45,45,45,41,39,37,45,45,45,39,39,36,45,45,45,36,39,37,45,45,45,36,38,36,45,45,45,36,38,36,45,45,45,36,37,36,45,45,45,36,36,36,45,45,45,36,36,37,45,45,45,36,36,36,left
45,45,45,37,36,35,45,45,45,36,36,36,45,45,45,36,36,36,45,45,45,36,36,36,45,45,45,36,36,36,45,45,45,36,36,36,45,45,46,36,44,38,45,45,46,38,37,37,45,45,46,35,31,36,45,45,45,37,28,33,45,45,45,37,27,37,45,45,45,35,18,32,45,45,45,35,25,33,45,45,45,36,31,34,45,45,45,35,35,35,45,45,45,34,37,36,45,45,45,35,39,36,45,45,45,34,41,39,45,45,45,36,43,37,45,45,45,36,43,38,45,45,45,37,43,38,45,45,45,38,42,38,45,45,45,38,41,37,45,45,45,38,40,36,45,45,45,37,38,37,45,45,45,37,38,37,45,45,45,36,37,36,45,45,45,36,36,36,45,45,45,36,36,36,45,45,45,36,36,36,left
42,43,43,35,34,35,43,43,43,35,35,35,43,43,43,35,35,35,43,43,43,35,35,35,43,43,43,35,35,35,43,43,43,35,35,35,43,42,43,34,48,39,43,42,43,37,41,38,43,42,43,38,33,36,43,42,43,35,30,30,43,42,43,36,27,38,42,43,42,35,13,27,42,43,42,32,19,28,42,43,42,30,26,30,42,43,42,32,31,32,42,43,42,31,34,35,42,43,42,33,37,37,42,43,42,34,39,38,42,43,42,35,40,37,42,43,42,35,41,39,42,43,43,38,42,36,42,43,43,37,42,37,42,43,43,38,41,35,43,42,43,36,40,37,43,43,43,37,38,35,43,42,43,35,37,35,43,43,43,35,36,35,43,43,43,35,35,35,43,43,43,35,35,35,43,43,43,35,35,35,left
43,43,43,35,35,34,43,43,43,35,35,35,43,43,43,35,35,35,43,43,43,35,35,35,43,43,43,35,35,35,43,43,43,35,35,35,43,42,43,34,46,36,43,43,43,36,38,36,43,42,43,36,31,36,43,43,43,36,27,34,43,42,43,36,25,35,42,43,42,35,13,33,42,43,42,34,20,34,42,43,42,32,28,33,42,43,42,33,33,33,42,43,42,33,37,34,42,43,42,34,40,33,42,43,42,34,42,36,42,43,42,36,42,34,43,43,42,35,42,36,43,43,43,36,41,36,43,43,43,36,40,36,43,43,43,36,39,36,43,43,43,35,38,36,43,43,43,35,37,36,43,43,43,35,37,35,43,43,43,36,36,35,43,43,43,35,35,35,43,43,43,35,35,35,43,43,43,35,35,35,left
41,41,41,41,41,42,41,41,41,41,42,42,41,41,41,41,42,42,41,41,41,41,42,42,41,41,41,41,42,42,41,41,41,42,42,41,42,41,42,43,53,43,42,41,42,42,47,42,42,41,42,43,39,42,42,41,42,40,36,39,42,41,42,42,34,42,41,41,41,40,22,39,41,42,41,40,27,40,41,42,41,40,36,39,41,41,41,41,39,41,41,41,41,40,42,41,41,41,41,41,44,42,41,41,41,42,45,41,41,41,41,40,46,42,41,42,41,42,47,41,41,41,41,42,47,43,41,41,41,43,47,41,41,41,41,43,46,43,41,41,42,43,45,42,41,41,41,43,43,42,41,41,41,42,42,42,41,41,41,42,41,41,41,41,41,41,41,42,41,41,41,41,41,41,41,41,41,41,41,41,left
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,42,52,42,40,40,40,41,46,42,40,40,41,40,40,40,40,40,40,40,35,37,40,40,40,39,33,40,40,40,40,37,20,36,40,40,39,37,26,36,40,40,39,38,32,37,40,40,39,38,38,40,40,40,39,39,41,40,40,40,40,39,43,43,40,40,40,40,44,42,40,40,40,40,45,42,40,40,40,41,45,42,40,40,40,41,45,41,40,40,40,41,44,40,40,40,40,41,44,40,40,40,40,41,43,40,40,40,40,40,42,40,40,40,40,40,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,left
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,50,42,40,40,40,40,45,41,40,40,40,40,40,40,40,40,40,39,36,37,40,40,40,41,34,41,40,40,40,40,23,36,40,40,40,40,27,38,40,40,39,38,32,38,40,40,40,40,37,39,40,40,40,38,39,40,40,40,40,39,42,39,40,40,40,39,43,41,40,40,40,40,44,40,40,40,40,40,45,41,40,40,40,40,45,40,40,40,40,40,45,41,40,40,40,41,44,41,40,40,40,41,43,41,40,40,40,40,42,41,40,40,40,40,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,left
